File,2.csv,
1463.149920,1.2020E-004,1463.149920,7.1970E-005,1463.149920,4.0830E-005,1463.149920,2.4570E-005,1463.149920,2.9439E000
1463.166400,1.2140E-004,1463.166400,7.2460E-005,1463.166400,4.1290E-005,1463.166400,2.4620E-005,1463.166400,2.9402E000
1463.182880,1.2190E-004,1463.182880,7.2870E-005,1463.182880,4.1610E-005,1463.182880,2.4790E-005,1463.182880,2.9296E000
1463.199360,1.2260E-004,1463.199360,7.3290E-005,1463.199360,4.1800E-005,1463.199360,2.4890E-005,1463.199360,2.9330E000
1463.215840,1.2270E-004,1463.215840,7.3700E-005,1463.215840,4.1930E-005,1463.215840,2.5090E-005,1463.215840,2.9263E000
1463.232320,1.2320E-004,1463.232320,7.3700E-005,1463.232320,4.2140E-005,1463.232320,2.5090E-005,1463.232320,2.9236E000
1463.248800,1.2350E-004,1463.248800,7.3870E-005,1463.248800,4.2210E-005,1463.248800,2.5000E-005,1463.248800,2.9258E000
1463.265280,1.2360E-004,1463.265280,7.4130E-005,1463.265280,4.2290E-005,1463.265280,2.5130E-005,1463.265280,2.9227E000
1463.281760,1.2360E-004,1463.281760,7.4050E-005,1463.281760,4.2360E-005,1463.281760,2.5130E-005,1463.281760,2.9178E000
1463.298240,1.2370E-004,1463.298240,7.4260E-005,1463.298240,4.2320E-005,1463.298240,2.5090E-005,1463.298240,2.9230E000
1463.314720,1.2360E-004,1463.314720,7.4240E-005,1463.314720,4.2530E-005,1463.314720,2.5060E-005,1463.314720,2.9062E000
1463.331200,1.2390E-004,1463.331200,7.4220E-005,1463.331200,4.2570E-005,1463.331200,2.5090E-005,1463.331200,2.9105E000
1463.347680,1.2410E-004,1463.347680,7.4390E-005,1463.347680,4.2720E-005,1463.347680,2.5000E-005,1463.347680,2.9050E000
1463.364160,1.2450E-004,1463.364160,7.4600E-005,1463.364160,4.2810E-005,1463.364160,2.5020E-005,1463.364160,2.9082E000
1463.380640,1.2480E-004,1463.380640,7.4690E-005,1463.380640,4.2980E-005,1463.380640,2.5170E-005,1463.380640,2.9037E000
1463.397120,1.2490E-004,1463.397120,7.4770E-005,1463.397120,4.2980E-005,1463.397120,2.5060E-005,1463.397120,2.9060E000
1463.413600,1.2520E-004,1463.413600,7.4990E-005,1463.413600,4.3090E-005,1463.413600,2.5130E-005,1463.413600,2.9055E000
1463.430080,1.2550E-004,1463.430080,7.5050E-005,1463.430080,4.3210E-005,1463.430080,2.5150E-005,1463.430080,2.9044E000
1463.446560,1.2580E-004,1463.446560,7.5380E-005,1463.446560,4.3280E-005,1463.446560,2.5130E-005,1463.446560,2.9067E000
1463.463040,1.2600E-004,1463.463040,7.5500E-005,1463.463040,4.3370E-005,1463.463040,2.5150E-005,1463.463040,2.9052E000
1463.479520,1.2630E-004,1463.479520,7.5800E-005,1463.479520,4.3560E-005,1463.479520,2.5210E-005,1463.479520,2.8994E000
1463.496000,1.2660E-004,1463.496000,7.5780E-005,1463.496000,4.3620E-005,1463.496000,2.5280E-005,1463.496000,2.9023E000
1463.512480,1.2680E-004,1463.512480,7.5950E-005,1463.512480,4.3950E-005,1463.512480,2.5360E-005,1463.512480,2.8851E000
1463.528960,1.2700E-004,1463.528960,7.5980E-005,1463.528960,4.3880E-005,1463.528960,2.5320E-005,1463.528960,2.8943E000
1463.545440,1.2710E-004,1463.545440,7.6000E-005,1463.545440,4.4170E-005,1463.545440,2.5290E-005,1463.545440,2.8775E000
1463.561920,1.2730E-004,1463.561920,7.6270E-005,1463.561920,4.4000E-005,1463.561920,2.5330E-005,1463.561920,2.8932E000
1463.578400,1.2710E-004,1463.578400,7.6190E-005,1463.578400,4.3980E-005,1463.578400,2.5310E-005,1463.578400,2.8899E000
1463.594880,1.2740E-004,1463.594880,7.6170E-005,1463.594880,4.4030E-005,1463.594880,2.5180E-005,1463.594880,2.8935E000
1463.611360,1.2740E-004,1463.611360,7.6250E-005,1463.611360,4.4200E-005,1463.611360,2.5290E-005,1463.611360,2.8824E000
1463.627840,1.2740E-004,1463.627840,7.6250E-005,1463.627840,4.4090E-005,1463.627840,2.5200E-005,1463.627840,2.8895E000
1463.644320,1.2780E-004,1463.644320,7.6680E-005,1463.644320,4.4220E-005,1463.644320,2.5200E-005,1463.644320,2.8901E000
1463.660800,1.2820E-004,1463.660800,7.6810E-005,1463.660800,4.4500E-005,1463.660800,2.5220E-005,1463.660800,2.8809E000
1463.677280,1.2840E-004,1463.677280,7.7020E-005,1463.677280,4.4480E-005,1463.677280,2.5260E-005,1463.677280,2.8867E000
1463.693760,1.2890E-004,1463.693760,7.6980E-005,1463.693760,4.4670E-005,1463.693760,2.5410E-005,1463.693760,2.8856E000
1463.710240,1.2870E-004,1463.710240,7.7350E-005,1463.710240,4.4860E-005,1463.710240,2.5310E-005,1463.710240,2.8689E000
1463.726720,1.2880E-004,1463.726720,7.7540E-005,1463.726720,4.4860E-005,1463.726720,2.5310E-005,1463.726720,2.8712E000
1463.743200,1.2910E-004,1463.743200,7.7330E-005,1463.743200,4.4950E-005,1463.743200,2.5350E-005,1463.743200,2.8721E000
1463.759680,1.2880E-004,1463.759680,7.7540E-005,1463.759680,4.5080E-005,1463.759680,2.5390E-005,1463.759680,2.8571E000
1463.776160,1.2910E-004,1463.776160,7.7390E-005,1463.776160,4.5180E-005,1463.776160,2.5460E-005,1463.776160,2.8575E000
1463.792640,1.2910E-004,1463.792640,7.7370E-005,1463.792640,4.5200E-005,1463.792640,2.5370E-005,1463.792640,2.8562E000
1463.809120,1.2930E-004,1463.809120,7.7370E-005,1463.809120,4.5160E-005,1463.809120,2.5310E-005,1463.809120,2.8632E000
1463.825600,1.2910E-004,1463.825600,7.7260E-005,1463.825600,4.5050E-005,1463.825600,2.5180E-005,1463.825600,2.8657E000
1463.842080,1.2920E-004,1463.842080,7.7330E-005,1463.842080,4.5100E-005,1463.842080,2.5200E-005,1463.842080,2.8647E000
1463.858560,1.2920E-004,1463.858560,7.7470E-005,1463.858560,4.5160E-005,1463.858560,2.5180E-005,1463.858560,2.8609E000
1463.875040,1.2970E-004,1463.875040,7.7710E-005,1463.875040,4.5330E-005,1463.875040,2.5180E-005,1463.875040,2.8612E000
1463.891520,1.2990E-004,1463.891520,7.7920E-005,1463.891520,4.5420E-005,1463.891520,2.5140E-005,1463.891520,2.8600E000
1463.908000,1.3010E-004,1463.908000,7.8100E-005,1463.908000,4.5610E-005,1463.908000,2.5260E-005,1463.908000,2.8524E000
1463.924480,1.3040E-004,1463.924480,7.8180E-005,1463.924480,4.5680E-005,1463.924480,2.5260E-005,1463.924480,2.8546E000
1463.940960,1.3050E-004,1463.940960,7.8380E-005,1463.940960,4.5800E-005,1463.940960,2.5350E-005,1463.940960,2.8493E000
1463.957440,1.3070E-004,1463.957440,7.8380E-005,1463.957440,4.5930E-005,1463.957440,2.5370E-005,1463.957440,2.8456E000
1463.973920,1.3120E-004,1463.973920,7.8590E-005,1463.973920,4.5930E-005,1463.973920,2.5310E-005,1463.973920,2.8565E000
1463.990400,1.3090E-004,1463.990400,7.8460E-005,1463.990400,4.6110E-005,1463.990400,2.5480E-005,1463.990400,2.8389E000
1464.006880,1.3100E-004,1464.006880,7.8500E-005,1464.006880,4.6100E-005,1464.006880,2.5290E-005,1464.006880,2.8416E000
1464.023360,1.3120E-004,1464.023360,7.8500E-005,1464.023360,4.6190E-005,1464.023360,2.5180E-005,1464.023360,2.8404E000
1464.039840,1.3120E-004,1464.039840,7.8500E-005,1464.039840,4.6150E-005,1464.039840,2.5330E-005,1464.039840,2.8429E000
1464.056320,1.3130E-004,1464.056320,7.8520E-005,1464.056320,4.6190E-005,1464.056320,2.5160E-005,1464.056320,2.8426E000
1464.072800,1.3120E-004,1464.072800,7.8720E-005,1464.072800,4.6230E-005,1464.072800,2.5220E-005,1464.072800,2.8380E000
1464.089280,1.3170E-004,1464.089280,7.8950E-005,1464.089280,4.6470E-005,1464.089280,2.5220E-005,1464.089280,2.8341E000
1464.105760,1.3200E-004,1464.105760,7.8760E-005,1464.105760,4.6430E-005,1464.105760,2.5310E-005,1464.105760,2.8430E000
1464.122240,1.3210E-004,1464.122240,7.8890E-005,1464.122240,4.6530E-005,1464.122240,2.5390E-005,1464.122240,2.8390E000
1464.138720,1.3220E-004,1464.138720,7.9180E-005,1464.138720,4.6660E-005,1464.138720,2.5380E-005,1464.138720,2.8333E000
1464.155200,1.3240E-004,1464.155200,7.9350E-005,1464.155200,4.6910E-005,1464.155200,2.5350E-005,1464.155200,2.8224E000
1464.171680,1.3260E-004,1464.171680,7.9500E-005,1464.171680,4.6850E-005,1464.171680,2.5360E-005,1464.171680,2.8303E000
1464.188160,1.3290E-004,1464.188160,7.9870E-005,1464.188160,4.7020E-005,1464.188160,2.5420E-005,1464.188160,2.8265E000
1464.204640,1.3300E-004,1464.204640,7.9850E-005,1464.204640,4.7110E-005,1464.204640,2.5420E-005,1464.204640,2.8232E000
1464.221120,1.3350E-004,1464.221120,7.9960E-005,1464.221120,4.7230E-005,1464.221120,2.5570E-005,1464.221120,2.8266E000
1464.237600,1.3370E-004,1464.237600,7.9810E-005,1464.237600,4.7470E-005,1464.237600,2.5500E-005,1464.237600,2.8165E000
1464.254080,1.3340E-004,1464.254080,8.0020E-005,1464.254080,4.7410E-005,1464.254080,2.5550E-005,1464.254080,2.8138E000
1464.270560,1.3380E-004,1464.270560,7.9870E-005,1464.270560,4.7380E-005,1464.270560,2.5460E-005,1464.270560,2.8240E000
1464.287040,1.3400E-004,1464.287040,7.9980E-005,1464.287040,4.7380E-005,1464.287040,2.5530E-005,1464.287040,2.8282E000
1464.303520,1.3390E-004,1464.303520,8.0430E-005,1464.303520,4.7550E-005,1464.303520,2.5420E-005,1464.303520,2.8160E000
1464.320000,1.3430E-004,1464.320000,8.0260E-005,1464.320000,4.7580E-005,1464.320000,2.5480E-005,1464.320000,2.8226E000
1464.336480,1.3410E-004,1464.336480,8.0280E-005,1464.336480,4.7660E-005,1464.336480,2.5530E-005,1464.336480,2.8137E000
1464.352960,1.3410E-004,1464.352960,8.0430E-005,1464.352960,4.7710E-005,1464.352960,2.5530E-005,1464.352960,2.8107E000
1464.369440,1.3470E-004,1464.369440,8.0710E-005,1464.369440,4.7860E-005,1464.369440,2.5550E-005,1464.369440,2.8145E000
1464.385920,1.3500E-004,1464.385920,8.0790E-005,1464.385920,4.8160E-005,1464.385920,2.5570E-005,1464.385920,2.8032E000
1464.402400,1.3540E-004,1464.402400,8.1010E-005,1464.402400,4.8240E-005,1464.402400,2.5680E-005,1464.402400,2.8068E000
1464.418880,1.3580E-004,1464.418880,8.1460E-005,1464.418880,4.8450E-005,1464.418880,2.5700E-005,1464.418880,2.8029E000
1464.435360,1.3620E-004,1464.435360,8.1410E-005,1464.435360,4.8480E-005,1464.435360,2.5700E-005,1464.435360,2.8094E000
1464.451840,1.3620E-004,1464.451840,8.1690E-005,1464.451840,4.8670E-005,1464.451840,2.5850E-005,1464.451840,2.7984E000
1464.468320,1.3640E-004,1464.468320,8.1480E-005,1464.468320,4.8600E-005,1464.468320,2.5870E-005,1464.468320,2.8066E000
1464.484800,1.3630E-004,1464.484800,8.1860E-005,1464.484800,4.8840E-005,1464.484800,2.5810E-005,1464.484800,2.7907E000
1464.501280,1.3630E-004,1464.501280,8.1730E-005,1464.501280,4.8800E-005,1464.501280,2.5700E-005,1464.501280,2.7930E000
1464.517760,1.3630E-004,1464.517760,8.1670E-005,1464.517760,4.8840E-005,1464.517760,2.5850E-005,1464.517760,2.7907E000
1464.534240,1.3650E-004,1464.534240,8.1580E-005,1464.534240,4.8860E-005,1464.534240,2.5810E-005,1464.534240,2.7937E000
1464.550720,1.3660E-004,1464.550720,8.1780E-005,1464.550720,4.8840E-005,1464.550720,2.5910E-005,1464.550720,2.7969E000
1464.567200,1.3710E-004,1464.567200,8.1820E-005,1464.567200,4.8910E-005,1464.567200,2.5810E-005,1464.567200,2.8031E000
1464.583680,1.3720E-004,1464.583680,8.2140E-005,1464.583680,4.9160E-005,1464.583680,2.5890E-005,1464.583680,2.7909E000
1464.600160,1.3750E-004,1464.600160,8.2360E-005,1464.600160,4.9360E-005,1464.600160,2.5950E-005,1464.600160,2.7857E000
1464.616640,1.3800E-004,1464.616640,8.2650E-005,1464.616640,4.9440E-005,1464.616640,2.6040E-005,1464.616640,2.7913E000
1464.633120,1.3830E-004,1464.633120,8.2700E-005,1464.633120,4.9590E-005,1464.633120,2.6000E-005,1464.633120,2.7889E000
1464.649600,1.3840E-004,1464.649600,8.2950E-005,1464.649600,4.9780E-005,1464.649600,2.6040E-005,1464.649600,2.7802E000
1464.666080,1.3870E-004,1464.666080,8.2890E-005,1464.666080,4.9800E-005,1464.666080,2.6040E-005,1464.666080,2.7851E000
1464.682560,1.3890E-004,1464.682560,8.3230E-005,1464.682560,4.9910E-005,1464.682560,2.6060E-005,1464.682560,2.7830E000
1464.699040,1.3880E-004,1464.699040,8.3190E-005,1464.699040,4.9950E-005,1464.699040,2.6130E-005,1464.699040,2.7788E000
1464.715520,1.3870E-004,1464.715520,8.3000E-005,1464.715520,5.0060E-005,1464.715520,2.6110E-005,1464.715520,2.7707E000
1464.732000,1.3870E-004,1464.732000,8.3200E-005,1464.732000,5.0100E-005,1464.732000,2.6090E-005,1464.732000,2.7685E000
1464.748480,1.3890E-004,1464.748480,8.3030E-005,1464.748480,5.0030E-005,1464.748480,2.6090E-005,1464.748480,2.7763E000
1464.764960,1.3900E-004,1464.764960,8.3030E-005,1464.764960,5.0050E-005,1464.764960,2.6070E-005,1464.764960,2.7772E000
1464.781440,1.3900E-004,1464.781440,8.2990E-005,1464.781440,5.0140E-005,1464.781440,2.6050E-005,1464.781440,2.7722E000
1464.797920,1.3910E-004,1464.797920,8.3100E-005,1464.797920,5.0310E-005,1464.797920,2.6050E-005,1464.797920,2.7649E000
1464.814400,1.3970E-004,1464.814400,8.3350E-005,1464.814400,5.0350E-005,1464.814400,2.6020E-005,1464.814400,2.7746E000
1464.830880,1.3970E-004,1464.830880,8.3420E-005,1464.830880,5.0500E-005,1464.830880,2.5980E-005,1464.830880,2.7663E000
1464.847360,1.3970E-004,1464.847360,8.3830E-005,1464.847360,5.0590E-005,1464.847360,2.6070E-005,1464.847360,2.7614E000
1464.863840,1.4020E-004,1464.863840,8.3780E-005,1464.863840,5.0780E-005,1464.863840,2.6150E-005,1464.863840,2.7609E000
1464.880320,1.4050E-004,1464.880320,8.3980E-005,1464.880320,5.0830E-005,1464.880320,2.6150E-005,1464.880320,2.7641E000
1464.896800,1.4050E-004,1464.896800,8.4110E-005,1464.896800,5.0830E-005,1464.896800,2.6200E-005,1464.896800,2.7641E000
1464.913280,1.4040E-004,1464.913280,8.4150E-005,1464.913280,5.0910E-005,1464.913280,2.6150E-005,1464.913280,2.7578E000
1464.929760,1.4060E-004,1464.929760,8.4130E-005,1464.929760,5.1040E-005,1464.929760,2.6030E-005,1464.929760,2.7547E000
1464.946240,1.4030E-004,1464.946240,8.4230E-005,1464.946240,5.1000E-005,1464.946240,2.6090E-005,1464.946240,2.7510E000
1464.962720,1.4040E-004,1464.962720,8.4000E-005,1464.962720,5.1060E-005,1464.962720,2.6070E-005,1464.962720,2.7497E000
1464.979200,1.4030E-004,1464.979200,8.4000E-005,1464.979200,5.1020E-005,1464.979200,2.5940E-005,1464.979200,2.7499E000
1464.995680,1.4000E-004,1464.995680,8.3850E-005,1464.995680,5.0970E-005,1464.995680,2.6050E-005,1464.995680,2.7467E000
1465.012160,1.3990E-004,1465.012160,8.3700E-005,1465.012160,5.0890E-005,1465.012160,2.5850E-005,1465.012160,2.7491E000
1465.028640,1.3970E-004,1465.028640,8.3210E-005,1465.028640,5.0720E-005,1465.028640,2.5870E-005,1465.028640,2.7543E000
1465.045120,1.3830E-004,1465.045120,8.2540E-005,1465.045120,5.0310E-005,1465.045120,2.5550E-005,1465.045120,2.7490E000
1465.061600,1.3720E-004,1465.061600,8.1990E-005,1465.061600,4.9920E-005,1465.061600,2.5250E-005,1465.061600,2.7484E000
1465.078080,1.3770E-004,1465.078080,8.2330E-005,1465.078080,5.0080E-005,1465.078080,2.5320E-005,1465.078080,2.7496E000
1465.094560,1.3910E-004,1465.094560,8.3160E-005,1465.094560,5.0650E-005,1465.094560,2.5490E-005,1465.094560,2.7463E000
1465.111040,1.3960E-004,1465.111040,8.3610E-005,1465.111040,5.0930E-005,1465.111040,2.5710E-005,1465.111040,2.7410E000
1465.127520,1.4040E-004,1465.127520,8.4020E-005,1465.127520,5.1320E-005,1465.127520,2.5700E-005,1465.127520,2.7358E000
1465.144000,1.4110E-004,1465.144000,8.4530E-005,1465.144000,5.1600E-005,1465.144000,2.5900E-005,1465.144000,2.7345E000
1465.160480,1.4120E-004,1465.160480,8.4570E-005,1465.160480,5.1590E-005,1465.160480,2.5940E-005,1465.160480,2.7370E000
1465.176960,1.4080E-004,1465.176960,8.4210E-005,1465.176960,5.1470E-005,1465.176960,2.5900E-005,1465.176960,2.7356E000
1465.193440,1.4030E-004,1465.193440,8.3740E-005,1465.193440,5.1270E-005,1465.193440,2.5730E-005,1465.193440,2.7365E000
1465.209920,1.3980E-004,1465.209920,8.3700E-005,1465.209920,5.1250E-005,1465.209920,2.5600E-005,1465.209920,2.7278E000
1465.226400,1.4100E-004,1465.226400,8.4280E-005,1465.226400,5.1600E-005,1465.226400,2.5700E-005,1465.226400,2.7326E000
1465.242880,1.4220E-004,1465.242880,8.4850E-005,1465.242880,5.1810E-005,1465.242880,2.5870E-005,1465.242880,2.7446E000
1465.259360,1.4300E-004,1465.259360,8.5130E-005,1465.259360,5.2300E-005,1465.259360,2.5920E-005,1465.259360,2.7342E000
1465.275840,1.4320E-004,1465.275840,8.5470E-005,1465.275840,5.2410E-005,1465.275840,2.6050E-005,1465.275840,2.7323E000
1465.292320,1.4380E-004,1465.292320,8.5670E-005,1465.292320,5.2690E-005,1465.292320,2.6110E-005,1465.292320,2.7292E000
1465.308800,1.4390E-004,1465.308800,8.5860E-005,1465.308800,5.2750E-005,1465.308800,2.6110E-005,1465.308800,2.7280E000
1465.325280,1.4410E-004,1465.325280,8.6240E-005,1465.325280,5.3080E-005,1465.325280,2.6120E-005,1465.325280,2.7148E000
1465.341760,1.4450E-004,1465.341760,8.6370E-005,1465.341760,5.2870E-005,1465.341760,2.6140E-005,1465.341760,2.7331E000
1465.358240,1.4450E-004,1465.358240,8.6390E-005,1465.358240,5.3150E-005,1465.358240,2.6140E-005,1465.358240,2.7187E000
1465.374720,1.4460E-004,1465.374720,8.6580E-005,1465.374720,5.3360E-005,1465.374720,2.6240E-005,1465.374720,2.7099E000
1465.391200,1.4540E-004,1465.391200,8.6900E-005,1465.391200,5.3430E-005,1465.391200,2.6220E-005,1465.391200,2.7213E000
1465.407680,1.4520E-004,1465.407680,8.6790E-005,1465.407680,5.3560E-005,1465.407680,2.6240E-005,1465.407680,2.7110E000
1465.424160,1.4550E-004,1465.424160,8.6860E-005,1465.424160,5.3620E-005,1465.424160,2.6310E-005,1465.424160,2.7135E000
1465.440640,1.4540E-004,1465.440640,8.6920E-005,1465.440640,5.3660E-005,1465.440640,2.6250E-005,1465.440640,2.7097E000
1465.457120,1.4560E-004,1465.457120,8.6830E-005,1465.457120,5.3830E-005,1465.457120,2.6250E-005,1465.457120,2.7048E000
1465.473600,1.4550E-004,1465.473600,8.7090E-005,1465.473600,5.3770E-005,1465.473600,2.6180E-005,1465.473600,2.7060E000
1465.490080,1.4590E-004,1465.490080,8.7090E-005,1465.490080,5.3750E-005,1465.490080,2.6180E-005,1465.490080,2.7144E000
1465.506560,1.4610E-004,1465.506560,8.7180E-005,1465.506560,5.3900E-005,1465.506560,2.6090E-005,1465.506560,2.7106E000
1465.523040,1.4680E-004,1465.523040,8.7440E-005,1465.523040,5.3940E-005,1465.523040,2.6140E-005,1465.523040,2.7215E000
1465.539520,1.4680E-004,1465.539520,8.7650E-005,1465.539520,5.4130E-005,1465.539520,2.6180E-005,1465.539520,2.7120E000
1465.556000,1.4730E-004,1465.556000,8.7740E-005,1465.556000,5.4350E-005,1465.556000,2.6310E-005,1465.556000,2.7102E000
1465.572480,1.4710E-004,1465.572480,8.8060E-005,1465.572480,5.4350E-005,1465.572480,2.6250E-005,1465.572480,2.7065E000
1465.588960,1.4750E-004,1465.588960,8.8060E-005,1465.588960,5.4580E-005,1465.588960,2.6180E-005,1465.588960,2.7025E000
1465.605440,1.4800E-004,1465.605440,8.8200E-005,1465.605440,5.4750E-005,1465.605440,2.6250E-005,1465.605440,2.7032E000
1465.621920,1.4800E-004,1465.621920,8.8310E-005,1465.621920,5.4780E-005,1465.621920,2.6290E-005,1465.621920,2.7017E000
1465.638400,1.4820E-004,1465.638400,8.8250E-005,1465.638400,5.4840E-005,1465.638400,2.6250E-005,1465.638400,2.7024E000
1465.654880,1.4810E-004,1465.654880,8.8330E-005,1465.654880,5.4840E-005,1465.654880,2.6240E-005,1465.654880,2.7006E000
1465.671360,1.4810E-004,1465.671360,8.8460E-005,1465.671360,5.4880E-005,1465.671360,2.6350E-005,1465.671360,2.6986E000
1465.687840,1.4810E-004,1465.687840,8.8610E-005,1465.687840,5.5120E-005,1465.687840,2.6220E-005,1465.687840,2.6869E000
1465.704320,1.4850E-004,1465.704320,8.8570E-005,1465.704320,5.5140E-005,1465.704320,2.6160E-005,1465.704320,2.6931E000
1465.720800,1.4850E-004,1465.720800,8.8660E-005,1465.720800,5.5070E-005,1465.720800,2.6120E-005,1465.720800,2.6966E000
1465.737280,1.4850E-004,1465.737280,8.8630E-005,1465.737280,5.5160E-005,1465.737280,2.6100E-005,1465.737280,2.6922E000
1465.753760,1.4870E-004,1465.753760,8.8650E-005,1465.753760,5.5180E-005,1465.753760,2.6120E-005,1465.753760,2.6948E000
1465.770240,1.4880E-004,1465.770240,8.8610E-005,1465.770240,5.5420E-005,1465.770240,2.6030E-005,1465.770240,2.6850E000
1465.786720,1.4930E-004,1465.786720,8.8870E-005,1465.786720,5.5220E-005,1465.786720,2.6090E-005,1465.786720,2.7037E000
1465.803200,1.4950E-004,1465.803200,8.9130E-005,1465.803200,5.5570E-005,1465.803200,2.6100E-005,1465.803200,2.6903E000
1465.819680,1.4960E-004,1465.819680,8.9430E-005,1465.819680,5.5590E-005,1465.819680,2.6140E-005,1465.819680,2.6911E000
1465.836160,1.4980E-004,1465.836160,8.9680E-005,1465.836160,5.5780E-005,1465.836160,2.6180E-005,1465.836160,2.6856E000
1465.852640,1.4960E-004,1465.852640,8.9360E-005,1465.852640,5.5780E-005,1465.852640,2.5990E-005,1465.852640,2.6820E000
1465.869120,1.4920E-004,1465.869120,8.9170E-005,1465.869120,5.5840E-005,1465.869120,2.6030E-005,1465.869120,2.6719E000
1465.885600,1.4880E-004,1465.885600,8.9000E-005,1465.885600,5.5740E-005,1465.885600,2.5920E-005,1465.885600,2.6695E000
1465.902080,1.4870E-004,1465.902080,8.8810E-005,1465.902080,5.5690E-005,1465.902080,2.5840E-005,1465.902080,2.6701E000
1465.918560,1.4800E-004,1465.918560,8.8380E-005,1465.918560,5.5370E-005,1465.918560,2.5750E-005,1465.918560,2.6729E000
1465.935040,1.4810E-004,1465.935040,8.8350E-005,1465.935040,5.5250E-005,1465.935040,2.5580E-005,1465.935040,2.6805E000
1465.951520,1.4920E-004,1465.951520,8.8890E-005,1465.951520,5.5590E-005,1465.951520,2.5710E-005,1465.951520,2.6839E000
1465.968000,1.4980E-004,1465.968000,8.9170E-005,1465.968000,5.5840E-005,1465.968000,2.5780E-005,1465.968000,2.6827E000
1465.984480,1.5010E-004,1465.984480,8.9730E-005,1465.984480,5.5990E-005,1465.984480,2.5880E-005,1465.984480,2.6808E000
1466.000960,1.5070E-004,1466.000960,8.9580E-005,1466.000960,5.6140E-005,1466.000960,2.5920E-005,1466.000960,2.6844E000
1466.017440,1.5110E-004,1466.017440,9.0050E-005,1466.017440,5.6320E-005,1466.017440,2.5940E-005,1466.017440,2.6829E000
1466.033920,1.5110E-004,1466.033920,8.9940E-005,1466.033920,5.6610E-005,1466.033920,2.5800E-005,1466.033920,2.6691E000
1466.050400,1.5130E-004,1466.050400,9.0320E-005,1466.050400,5.6610E-005,1466.050400,2.5800E-005,1466.050400,2.6727E000
1466.066880,1.5160E-004,1466.066880,9.0370E-005,1466.066880,5.6620E-005,1466.066880,2.5780E-005,1466.066880,2.6775E000
